id|job_id|job_name|run_id|action_id|status|attempts|max_attempts|last_error_code|created_at|updated_at
74f829d0-f799-4d59-8e4a-fd747d4780df|petpack:a13b155ec0b2b3737eda45d4a4554f9cfca35e0fa556951a343115e1b759b128|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sneeze|succeeded|1|3||2026-08-17 15:52:59.179176+00|2026-08-17 15:52:59.278732+00
b44a3acd-54c1-43a4-8f0a-8ea0089f5cf4|petpack:ad1ad729cbac15df1471bdb3bb02082878d88b005552e6335fa7880ba72019a3|petpack.process-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|roll|succeeded|3|3||2026-08-17 15:53:01.189442+00|2026-08-17 16:11:26.475524+00
f174b9cf-0fdd-4e5e-8cc8-ec543d631bed|petpack:d30fdd3a61073f34b42328a8d5a7d0702ae1f7673bfaae514ab66d38fcb6e2b2|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|stretch|succeeded|1|3||2026-08-17 15:53:14.250243+00|2026-08-17 15:53:14.797932+00
459464b0-74b3-4b34-bd12-652fcdeef5f4|petpack:76dd0bda78363f6fd3b970897abf987661aa7314e2965368f7c3ce390da37cd8|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sleep-transition|succeeded|1|3||2026-08-17 15:53:14.282405+00|2026-08-17 15:53:14.378321+00
b29f4d65-9c8b-4961-b32d-b241b8a07208|petpack:d010f0ad5dd052fac77e2de7580809e5ef3dd1e82ecda40d1de61b47a132aae1|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|hover-attention|succeeded|1|3||2026-08-17 15:53:14.292703+00|2026-08-17 15:53:14.476114+00
2fb4ddb0-505c-4425-843b-27d103d1a1b4|petpack:491931ed8117972e0ca988af562ef7584328f0b048a71a538e53b3adc1993eef|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sleep-loop|succeeded|1|3||2026-08-17 15:53:14.299935+00|2026-08-17 15:53:14.398927+00
148ac5c8-f4d2-4ea0-8e21-c476299f3339|petpack:bdb4dc6ba972cc52fe3153ed5fe866efde10ce71fc5c03bbf3fef3bbed08a8c8|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|idle|succeeded|1|3||2026-08-17 15:53:14.304393+00|2026-08-17 15:53:15.137656+00
a0ffa9fc-27b8-4b2e-ba76-153011b3dbdf|petpack:aa6b6a91ff96aa13da1df35e7893cd36529f66c9e74411df21dc2149a15b3538|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sneeze|succeeded|1|3||2026-08-17 15:53:14.320989+00|2026-08-17 15:53:14.414134+00
00be62a4-d36d-4d9d-ba19-bd42414f3573|petpack:9f784d057d683cc332b1bb4462ccccd67c6375bb4b82237be5fca3d85f90ef0d|petpack.process-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|stretch|succeeded|3|3||2026-08-17 15:53:16.35721+00|2026-08-17 16:11:30.378572+00
f9819ec0-9b00-4ee4-aef4-12e3c4f6b72d|petpack:de95b14d187010679939061b313b7e4d88c5d56aec1743a8b5d779275dad583c|petpack.process-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|idle|succeeded|3|3||2026-08-17 15:53:16.359425+00|2026-08-17 16:11:05.660901+00
de1c9d7f-e750-4817-80b1-fce60c3d8fed|petpack:73714538fff1e0f9bf1adac245591c62b27e8acba83de9e45a2cee7827c83c9c|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sleep-transition|succeeded|1|3||2026-08-17 15:53:29.420463+00|2026-08-17 15:53:29.515774+00
2086613b-09df-4bdb-8582-c932dc3a0bbb|petpack:16d3f59eaa313e963f1c8cb887d74841b1840b1ad3b2316bdbd882d30108a7d9|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sleep-loop|succeeded|1|3||2026-08-17 15:53:29.423725+00|2026-08-17 15:53:29.514327+00
41d34a9b-8e86-4cc7-a72d-52ac848d7641|petpack:685661bdb2622217c87d9666e3129f930815159c0c72e0250cb6b5ef32be952b|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sneeze|succeeded|1|3||2026-08-17 15:53:29.438745+00|2026-08-17 15:53:29.532835+00
706145af-a714-4495-aacb-d1f64392ea9d|petpack:5d4d5d726f1786900dbbacd5aab2eeee6f16cae4a9e9930d631285b57a5c1528|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|hover-attention|succeeded|1|3||2026-08-17 15:53:30.457872+00|2026-08-17 15:53:30.526048+00
b71b8b2e-a405-4381-9e7c-40ec56314ef3|petpack:62ae28116fccbbe733e38dc01e91f346b279054135e9c298731c28fca262fb6a|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sleep-transition|succeeded|1|3||2026-08-17 15:53:44.525717+00|2026-08-17 15:53:44.609504+00
36ec8f26-859e-498a-b812-913d9cc0913d|petpack:07afb24c4b54a31d9c14c64623475a96d1bac230a96ac250ffe4cf21430ef919|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sleep-loop|succeeded|1|3||2026-08-17 15:53:44.538521+00|2026-08-17 15:53:44.632767+00
7b0b8e23-6947-4f2c-a61e-664b3d40b780|petpack:68f7d99d0806c1b3c24d09baf22bb2395a0ee77d295031c33a05b03893facd78|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sneeze|succeeded|1|3||2026-08-17 15:53:44.558304+00|2026-08-17 15:53:44.640635+00
07c5ca41-50d5-47d5-9410-8067c8cb12fa|petpack:cbab0d3eb8de48e7cb33c984825e8f78bea4d37c900b317b0a46448cfb8c8a14|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|hover-attention|succeeded|1|3||2026-08-17 15:53:45.590859+00|2026-08-17 15:53:45.659566+00
9c78d411-64ee-4edc-b722-bd0dbf42760d|petpack:7b3ae6adf708430173d58b92f646ca159c72a6006572280130d39a113db11489|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sleep-transition|succeeded|1|3||2026-08-17 15:53:59.659095+00|2026-08-17 15:53:59.741104+00
035d33b8-9f5f-4fed-a443-e7df58190528|petpack:99e1959498bfd2e9d324ff3673b2b412a10a6529a102d2c286c5166b8817c0e1|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sneeze|succeeded|1|3||2026-08-17 15:53:59.666806+00|2026-08-17 15:53:59.752704+00
a9c664ae-cebe-4bb1-b8fb-567f687facd3|petpack:2a7dd53f884dbff83dd9a8c765e00e49da78cc6f9aaad0f3b9b2f8fda41e161e|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sleep-loop|succeeded|1|3||2026-08-17 15:53:59.674035+00|2026-08-17 15:53:59.761131+00
bb9439f4-36f5-44e7-9092-452a51f117e9|petpack:483e147e10dfc280a87705cb1c42be174416e847d27a663010698be8606547b9|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|hover-attention|succeeded|1|3||2026-08-17 15:54:00.697866+00|2026-08-17 15:54:01.65381+00
